市场位置增强排名,股票代码,名称,原行业,中信行业,中信细分行业,原调整分,市场位置增强分,概念数量,高频主题命中数,高频主题命中,概念板块Top,市场位置摘要
1,sz002281,光迅科技,计算机、通信和其他电子设备制造业,通信设备,网络接配及塔设,4.3767,4.7195,14,7,5G概念、CPO概念、东数西算、光通信、数据中心、液冷服务、芯片,5G概念、6G概念、CPO概念、东数西算、云计算、光通信、抖音概念、数据中心,行业位置：通信设备/网络接配及塔设；相关概念：5G概念、6G概念、CPO概念、东数西算、云计算；风格标签：MSCI中盘、大盘股、昨成交20、最近多板；指数归属：中小100、中小300、中证800、中证央企；交易属性：中证500、中证A500、深港通SZ、深证成指。
2,sh688256,寒武纪,半导体,半导体,集成电路设计,4.578,4.6851,12,6,东数西算、人工智能、先进封装、数据中心、汽车芯片、芯片,东数西算、人工智能、人脑工程、先进封装、操作系统、数据中心、汽车芯片、算力租赁,行业位置：半导体/集成电路设计；相关概念：东数西算、人工智能、人脑工程、先进封装、操作系统；风格标签：MSCI成份、北上重仓、基金重仓、大盘股；指数归属：300非周、上证180、上证50、上证超大；交易属性：中证A500、沪港通SH、融资融券。
3,sh600584,长电科技,半导体,半导体,半导体封测,4.4842,4.6846,18,12,CPO概念、三代半导、人工智能、先进封装、光伏、存储芯片、智能机器、智能穿戴,CPO概念、三代半导、人工智能、先进封装、光伏、华为海思、存储芯片、新材料,行业位置：半导体/半导体封测；相关概念：CPO概念、三代半导、人工智能、先进封装、光伏；风格标签：北上重仓、历史新高、基金重仓、大基金；指数归属：300ESG、300非周、上证180、上证中盘；交易属性：中证A500、沪港通SH、融资融券、转融券。
4,sz301308,江波龙,计算机、通信和其他电子设备制造业,半导体,集成电路设计,4.3721,4.6758,12,9,AI眼镜、先进封装、存储芯片、小米概念、数据中心、智能机器、智能穿戴、消费电子,AI手机PC、AI眼镜、信创、先进封装、存储芯片、小米概念、小米汽车、数据中心,行业位置：半导体/集成电路设计；相关概念：AI手机PC、AI眼镜、信创、先进封装、存储芯片；风格标签：MSCI成份、历史新高、大基金、大盘股；指数归属：中创100、中证800、创业300、创业创新；交易属性：专精特新、中证500、深港通SZ、深证成指。
5,sz002156,通富微电,半导体,半导体,半导体封测,4.2995,4.6431,15,9,CPO概念、三代半导、先进封装、存储芯片、智能穿戴、汽车电子、消费电子、物联网,AI手机PC、CPO概念、三代半导、先进封装、创投概念、华为海思、存储芯片、智能穿戴,行业位置：半导体/半导体封测；相关概念：AI手机PC、CPO概念、三代半导、先进封装、创投概念；风格标签：MSCI成份、大基金、定增预案、社保新进；指数归属：中创100、中小100、中小300、中盘成长；交易属性：中证500、中证A500、深港通SZ、深证成指。
6,sz002179,中航光电,计算机、通信和其他电子设备制造业,元器件,军工电子,4.0544,4.5745,27,13,5G概念、CPO概念、储能、光伏、光通信、卫星导航、商业航天、国防军工,5G概念、6G概念、CPO概念、低空经济、储能、充电桩、光伏、光通信,行业位置：元器件/军工电子；相关概念：5G概念、6G概念、CPO概念、低空经济、储能；风格标签：MSCI成份、中字头、密集调研、最近情绪；指数归属：300ESG、300非周、中创100、中小100；交易属性：专精特新、中证A500、深港通SZ、深证成指。
7,sz300223,北京君正,计算机、通信和其他电子设备制造业,半导体,集成电路设计,4.1465,4.5743,22,12,AI眼镜、MCU芯片、OLED概念、人工智能、存储芯片、小米概念、智能机器、智能穿戴,3D打印、AI眼镜、MCU芯片、MiniLED、OLED概念、人工智能、区块链、华为鸿蒙,行业位置：半导体/集成电路设计；相关概念：3D打印、AI眼镜、MCU芯片、MiniLED、OLED概念；风格标签：基金重仓、拟减持、海外业务、百元股；指数归属：中创100、中证800、创业300、创业大盘；交易属性：中证500、中证A500、深港通SZ、深证成指。
8,sz002008,大族激光,专用设备制造业,专用机械,激光设备,4.0302,4.5636,34,16,AI眼镜、OLED概念、三代半导、储能、先进封装、光伏、光通信、商业航天,3D打印、AI眼镜、HJT电池、MicroLED、MiniLED、OLED概念、PCB概念、TOPCon,行业位置：专用机械/激光设备；相关概念：3D打印、AI眼镜、HJT电池、MicroLED、MiniLED；风格标签：分拆上市、历史新高、商誉减值、基金重仓；指数归属：中小100、中小300、中证800、分析师指；交易属性：中证500、中证A500、深港通SZ、深证成指。
9,sz300782,卓胜微,半导体,半导体,集成电路设计,4.3896,4.5378,11,9,5G概念、先进封装、卫星导航、商业航天、小米概念、智能穿戴、消费电子、物联网,5G概念、6G概念、先进封装、卫星导航、商业航天、小米概念、智能穿戴、消费电子,行业位置：半导体/集成电路设计；相关概念：5G概念、6G概念、先进封装、卫星导航、商业航天；风格标签：MSCI成份、基金减仓、定增股、密集调研；指数归属：300ESG、300非周、中创100、中证200；交易属性：中证A500、深港通SZ、深证成指、融资融券。
10,sz002050,三花智控,家用电器,家用电器,家电零部件,4.0099,4.5128,15,9,DeepSeek、人形机器、储能、含H股、小米概念、数据中心、新能源车、智能机器,DeepSeek、一带一路、人形机器、储能、华为汽车、含H股、小米概念、数据中心,行业位置：家用电器/家电零部件；相关概念：DeepSeek、一带一路、人形机器、储能、华为汽车；风格标签：MSCI成份、专项贷款、北上重仓、基金重仓；指数归属：300ESG、300非周、中创100、中小100；交易属性：中证A500、深港通SZ、深证成指、融资融券。
11,sz300433,蓝思科技,计算机、通信和其他电子设备制造业,元器件,消费电子组件,4.0884,4.5064,32,13,AI眼镜、OLED概念、人形机器、光伏、含H股、商业航天、小米概念、新能源车,3D打印、AI手机PC、AI眼镜、OLED概念、TOPCon、人形机器、人脑工程、元宇宙,行业位置：元器件/消费电子组件；相关概念：3D打印、AI手机PC、AI眼镜、OLED概念、TOPCon；风格标签：MSCI成份、专项贷款、北上重仓、大盘股；指数归属：300ESG、300非周、中创100、中证800；交易属性：中证A500、深港通SZ、深证成指、融资融券。
12,sh603986,兆易创新,半导体,半导体,集成电路设计,4.1593,4.4967,13,9,MCU芯片、人形机器、含H股、存储芯片、小米概念、汽车电子、汽车芯片、物联网,MCU芯片、人形机器、含H股、存储芯片、小米概念、无线耳机、汽车电子、汽车芯片,行业位置：半导体/集成电路设计；相关概念：MCU芯片、人形机器、含H股、存储芯片、小米概念；风格标签：MSCI成份、专项贷款、券商金股、北上重仓；指数归属：300ESG、300非周、上证180、上证中盘；交易属性：中证A500、沪港通SH、融资融券。
13,sz002049,紫光国微,半导体,半导体,集成电路设计,4.1538,4.4942,21,15,5G概念、CPO概念、MCU芯片、三代半导、人工智能、卫星导航、商业航天、国防军工,5G概念、CPO概念、EDA概念、ETC概念、MCU芯片、三代半导、人工智能、区块链,行业位置：半导体/集成电路设计；相关概念：5G概念、CPO概念、EDA概念、ETC概念、MCU芯片；风格标签：MSCI中盘、定增预案、密集调研、重组预案；指数归属：300ESG、300非周、中创100、中小100；交易属性：中证A500、含可转债、深港通SZ、深证成指。
14,sh688220,翱捷科技,计算机、通信和其他电子设备制造业,半导体,集成电路设计,4.0598,4.4936,16,12,5G概念、AI眼镜、人工智能、卫星导航、商业航天、国防军工、小米概念、智能穿戴,5G概念、6G概念、AI眼镜、人工智能、卫星导航、商业航天、国防军工、小米概念,行业位置：半导体/集成电路设计；相关概念：5G概念、6G概念、AI眼镜、人工智能、卫星导航；风格标签：基金减仓、海外业务、百元股、破发行价；指数归属：上证380、上证创新、中证800、半导体50；交易属性：专精特新、中证500、沪港通SH、融资融券。
15,sh688525,佰维存储,半导体,半导体,集成电路设计,4.1853,4.4875,14,11,AI眼镜、人形机器、先进封装、存储芯片、小米概念、数据中心、智能机器、智能穿戴,AI手机PC、AI眼镜、人形机器、信创、先进封装、存储芯片、小米概念、数据中心,行业位置：半导体/集成电路设计；相关概念：AI手机PC、AI眼镜、人形机器、信创、先进封装；风格标签：MSCI成份、历史新高、基金减仓、基金重仓；指数归属：上证380、中证800、半导体50、国证算力；交易属性：专精特新、中证500、沪港通SH、融资融券。
16,sz002600,领益智造,计算机、通信和其他电子设备制造业,元器件,消费电子组件,4.1172,4.4777,25,14,5G概念、AI眼镜、CPO概念、人工智能、人形机器、储能、光伏、商业航天,3D打印、5G概念、AI眼镜、CPO概念、人工智能、人形机器、低空经济、储能,行业位置：元器件/消费电子组件；相关概念：3D打印、5G概念、AI眼镜、CPO概念、人工智能；风格标签：MSCI成份、QFII新进、QFII重仓、专项贷款；指数归属：300ESG、300非周、中创100、中小100；交易属性：深港通SZ、深证成指、融资融券。
17,sh601138,工业富联,电子制造,通信设备,消费电子组件,4.1385,4.4457,21,11,5G概念、CPO概念、东数西算、人工智能、数据中心、新能源车、智能机器、消费电子,5G概念、CPO概念、东数西算、云计算、人工智能、创投概念、大数据、工业互联,行业位置：通信设备/消费电子组件；相关概念：5G概念、CPO概念、东数西算、云计算、人工智能；风格标签：MSCI成份、券商金股、北上重仓、台资背景；指数归属：300非周、上证180、上证中盘、中华A80；交易属性：沪港通SH、融资融券。
18,sz300308,中际旭创,通信,通信设备,网络接配及塔设,4.1095,4.4118,11,7,5G概念、CPO概念、光通信、数据中心、汽车电子、液冷服务、芯片,5G概念、CPO概念、光通信、创投概念、数据中心、无人驾驶、汽车电子、液冷服务,行业位置：通信设备/网络接配及塔设；相关概念：5G概念、CPO概念、光通信、创投概念、数据中心；风格标签：MSCI成份、QFII新进、QFII重仓、券商金股；指数归属：300ESG、300非周、中创100、中华A80；交易属性：中证A500、深港通SZ、深证成指、融资融券。
19,sz000333,美的集团,家用电器,家用电器,空调,3.7522,4.3968,16,9,MCU芯片、人形机器、储能、含H股、数据中心、智能机器、液冷服务、物联网,AI智能体、MCU芯片、一带一路、人形机器、储能、含H股、工业互联、数据中心,行业位置：家用电器/空调；相关概念：AI智能体、MCU芯片、一带一路、人形机器、储能；风格标签：MSCI成份、专项贷款、北上重仓、回购计划；指数归属：300ESG、300非周、MSCIA50、中华A80；交易属性：中证A500、深港通SZ、深证成指、融资融券。
20,sz000063,中兴通讯,通信,通信设备,系统设备,3.715,4.3801,45,20,5G概念、AI眼镜、DeepSeek、东数西算、人工智能、人形机器、储能、光通信,5G概念、6G概念、AI医疗、AI手机PC、AI智能体、AI眼镜、ChatGPT、DeepSeek,行业位置：通信设备/系统设备；相关概念：5G概念、6G概念、AI医疗、AI手机PC、AI智能体；风格标签：MSCI成份、保险重仓、北上重仓、回购计划；指数归属：300ESG、300非周、中华A80、中证100；交易属性：中证A500、深港通SZ、深证成指、融资融券。
21,sh603501,韦尔股份,半导体,半导体,集成电路设计,3.7138,4.3379,15,9,AI眼镜、MCU芯片、OLED概念、含H股、小米概念、汽车电子、汽车芯片、消费电子,AI眼镜、MCU芯片、OLED概念、含GDR、含H股、小米概念、无人驾驶、无线耳机,行业位置：半导体/集成电路设计；相关概念：AI眼镜、MCU芯片、OLED概念、含GDR、含H股；风格标签：MSCI成份、QFII重仓、北上重仓、回购计划；指数归属：300ESG、300非周、MSCIA50、上证180；交易属性：中证A500、含可转债、沪港通SH、融资融券。
22,sh600941,中国移动,通信,电信运营,电信运营服务,3.7918,4.3313,22,9,5G概念、DeepSeek、东数西算、人工智能、卫星导航、含H股、数据中心、智能机器,5G概念、6G概念、AI智能体、ChatGPT、DeepSeek、东数西算、中特估、云计算,行业位置：电信运营/电信运营服务；相关概念：5G概念、6G概念、AI智能体、ChatGPT、DeepSeek；风格标签：中字头、保险重仓、北上重仓、商誉减值；指数归属：300ESG、300非周、上证180、上证中盘；交易属性：中证A500、沪港通SH、融资融券。
