股票代码,股票名称,链路,字段,是否必填,填写值,填写说明
sh688347,华虹公司,公司概况,核心业务,是,公司主要从事晶圆代工业务，聚焦嵌入式/独立式非易失性存储器、功率器件、模拟与电源管理、逻辑与射频等特色工艺平台，向客户提供8英寸和12英寸晶圆制造服务。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688347,华虹公司,公司概况,行业地位,是,公司是国内特色工艺晶圆代工代表企业之一，具备8英寸和12英寸产线布局，长期服务消费电子、工业、汽车电子、新能源和物联网等下游，是华虹集团晶圆制造平台的重要上市主体。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688347,华虹公司,公司概况,主营产品,是,主营产品和服务包括集成电路晶圆制造、特色工艺平台、功率器件制造、嵌入式非易失性存储器、模拟及电源管理、逻辑及射频相关晶圆代工服务。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688347,华虹公司,公司概况,主要客户或下游,是,下游主要面向IC设计公司、IDM厂商、功率半导体企业及消费电子、工业控制、汽车电子、通信、物联网、新能源等终端应用领域。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688347,华虹公司,公司概况,未来方向,是,继续推进特色工艺晶圆代工平台、12英寸产能建设、功率与模拟工艺、汽车电子和工业应用导入，并关注华力微资产重组后产能协同和先进特色工艺平台扩展。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688347,华虹公司,公司概况,证据来源.来源类型,是,上市公司年度报告、指定信息披露媒体、重大资产重组报告和行业协会公开数据,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,公司概况,证据来源.来源名称,是,华虹公司2025年年度报告；上海证券报2025年年度报告摘要；华虹公司发行股份及支付现金购买资产并募集配套资金暨关联交易报告书；SIA全球半导体销售数据,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,公司概况,证据来源.来源日期,是,2026-03-31；2026-03-31；2026-03-30；2026-02-06,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,公司概况,证据来源.来源路径或URL,是,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12025390&stockid=688347；https://paper.cnstock.com/html/2026-03/31/content_2190629.htm；https://static.sse.com.cn/stock/disclosure/announcement/c/202603/688347_20260330_O5PF.pdf；https://www.semiconductors.org/global-annual-semiconductor-sales-increase-25-6-to-791-7-billion-in-2025/,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688347,华虹公司,公司概况,核验状态,是,已核验,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688347,华虹公司,公司概况,核验人,是,Codex公开资料核验,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688347,华虹公司,公司概况,核验日期,是,2026-05-03,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688347,华虹公司,公司概况,人工备注,否,本条只提炼华虹公司公开事实，不构成推荐或买卖建议；不得与中微设备、摩尔GPU业务混用。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688347,华虹公司,事件风险,核验状态,是,已核验,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688347,华虹公司,事件风险,材料标题,是,华虹公司2025年年度报告及发行股份购买资产并募集配套资金暨关联交易报告书,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,事件风险,材料发布日期,是,2026-03-31；2026-03-30,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,事件风险,材料来源名称,是,新浪财经公告、上海证券报信息披露、上海证券交易所公告,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,事件风险,材料来源URL,是,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12025390&stockid=688347；https://paper.cnstock.com/html/2026-03/31/content_2190629.htm；https://static.sse.com.cn/stock/disclosure/announcement/c/202603/688347_20260330_O5PF.pdf,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688347,华虹公司,事件风险,事件类型,是,定期报告、重大资产重组、行业周期和经营风险核验,只记录已核验的事件和风险，不确定内容先留空或写入备注。
sh688347,华虹公司,事件风险,风险等级,是,中,只记录已核验的事件和风险，不确定内容先留空或写入备注。
sh688347,华虹公司,事件风险,是否发现新增重大风险,是,否,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688347,华虹公司,事件风险,是否支持当前前台结论,是,是,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688347,华虹公司,事件风险,建议前台处理,是,可维持研究关注，但前台必须提示晶圆代工周期、产能利用率、价格压力、资本开支、重组整合、客户需求波动、国际贸易和供应链风险。,填写对前台结论的处理建议，例如维持、降级观察、暂不采用。
sh688347,华虹公司,事件风险,核验摘要,是,2025年年报和重组材料支持公司晶圆代工和特色工艺平台仍在推进，但晶圆代工业务受半导体周期、下游需求、产能利用率、折旧资本开支和价格竞争影响明显；发行股份购买资产及配套融资事项还需关注审批、整合和业绩兑现风险。未从本轮公开资料中识别需要立即阻断前台研究关注的新重大风险。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688347,华虹公司,事件风险,核验人,是,Codex公开资料核验,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688347,华虹公司,事件风险,核验日期,是,2026-05-03,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688347,华虹公司,事件风险,人工备注,否,事件风险只用于前台风险提示和证据完整性，不自动改变推荐等级或买卖判断。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688347,华虹公司,行业景气,核验状态,是,已核验,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688347,华虹公司,行业景气,行业指数或价格来源名称,是,SIA全球半导体销售数据；国家统计局2026年3月集成电路产量；华虹公司2025年年度报告,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,行业景气,行业指数或价格来源URL,是,https://www.semiconductors.org/global-annual-semiconductor-sales-increase-25-6-to-791-7-billion-in-2025/；https://www.stats.gov.cn/sj/zxfbhjd/202604/t20260416_1963329.html；https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12025390&stockid=688347,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688347,华虹公司,行业景气,数据日期,是,2026-02-06；2026-04-16；2026-03-31,按行业指数、价格、订单、政策等来源核验景气判断。
sh688347,华虹公司,行业景气,正式行业景气判断,是,偏上行但分化。SIA披露2025年全球半导体销售额创7917亿美元新高，同比增长25.6%；国家统计局数据显示2026年3月集成电路产量同比增长20.6%。但晶圆代工细分仍受产能利用率、产品结构、价格和资本开支周期影响。,按行业指数、价格、订单、政策等来源核验景气判断。
sh688347,华虹公司,行业景气,是否支持现有景气估算,是,是,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688347,华虹公司,行业景气,样本估算偏差判断,是,现有半导体方向景气估算与全球销售和国内产量数据一致，但这些是半导体整体口径，不等同于华虹特色工艺晶圆代工单股盈利确定性，需继续跟踪价格、产能利用率和重组协同。,按行业指数、价格、订单、政策等来源核验景气判断。
sh688347,华虹公司,行业景气,建议前台处理,是,前台可说明半导体行业景气改善支持继续研究，但不得直接写成买入结论；仍需结合价格位置、成交额、产能利用率、毛利率、资本开支和风险观察线。,填写对前台结论的处理建议，例如维持、降级观察、暂不采用。
sh688347,华虹公司,行业景气,核验摘要,是,全球半导体销售和国内集成电路产量数据均显示行业整体景气较强，华虹所处晶圆代工和特色工艺方向具备恢复和国产化支撑；但晶圆代工具有周期性和资本密集属性，景气改善需要通过利用率、ASP、毛利率和订单兑现进一步验证。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688347,华虹公司,行业景气,核验人,是,Codex公开资料核验,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688347,华虹公司,行业景气,核验日期,是,2026-05-03,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688347,华虹公司,行业景气,人工备注,否,行业景气只作为研究背景，不替代单股评分、前台策略和风险观察线。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
