股票代码,股票名称,链路,字段,是否必填,填写值,填写说明
sh688012,中微公司,公司概况,核心业务,是,公司主要从事处理器及配套芯片研制销售和基础软硬件解决方案服务，采用Fabless模式并围绕自主龙架构建设软硬件生态。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688012,中微公司,公司概况,行业地位,是,龙芯系列属于我国较早研制的通用处理器系列之一，公司处于国内通用处理器行业领先地位，核心特点是自主指令系统和自主CPU IP生态。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688012,中微公司,公司概况,主营产品,是,主要产品包括龙芯1号嵌入式处理器、龙芯2号工控和终端处理器、龙芯3号信息化和工控类处理器、配套桥片及电源时钟等配套芯片，并提供开发板和软硬件模块。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688012,中微公司,公司概况,主要客户或下游,是,下游主要面向桌面终端、服务器、高端嵌入式计算机、行业终端、国密云、安全应用、能源、交通、制造、水表、打印机和电机驱动等场景，并与板卡整机厂商及基础软件和应用解决方案开发商合作。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688012,中微公司,公司概况,未来方向,是,继续围绕龙架构自主生态、CPU和GPU等自主IP、服务器和工控开放市场、基础软件兼容、龙架构技术授权和软硬件系统级解决方案推进。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688012,中微公司,公司概况,证据来源.来源类型,是,上市公司定期报告和指定信息披露媒体,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,公司概况,证据来源.来源名称,是,龙芯中科技术股份有限公司2025年年度报告及2026年第一季度报告,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,公司概况,证据来源.来源日期,是,2026-04-29,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,公司概况,证据来源.来源路径或URL,是,https://static.cninfo.com.cn/finalpage/2026-04-29/1225234886.PDF,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688012,中微公司,公司概况,核验状态,是,已核验,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
