股票代码,股票名称,链路,字段,是否必填,填写值,填写说明
sh688347,华虹公司,公司概况,核心业务,是,,按可靠来源补全公司基本面事实，不做主观推荐。
sh688347,华虹公司,公司概况,行业地位,是,,按可靠来源补全公司基本面事实，不做主观推荐。
sh688347,华虹公司,公司概况,主营产品,是,,按可靠来源补全公司基本面事实，不做主观推荐。
sh688347,华虹公司,公司概况,主要客户或下游,是,,按可靠来源补全公司基本面事实，不做主观推荐。
sh688347,华虹公司,公司概况,未来方向,是,,按可靠来源补全公司基本面事实，不做主观推荐。
sh688347,华虹公司,公司概况,证据来源.来源类型,是,,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,公司概况,证据来源.来源名称,是,,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,公司概况,证据来源.来源日期,是,,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,公司概况,证据来源.来源路径或URL,是,,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688347,华虹公司,公司概况,核验状态,是,,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688347,华虹公司,公司概况,核验人,是,,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688347,华虹公司,公司概况,核验日期,是,,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688347,华虹公司,公司概况,人工备注,否,,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688347,华虹公司,事件风险,核验状态,是,,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688347,华虹公司,事件风险,材料标题,是,,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,事件风险,材料发布日期,是,,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,事件风险,材料来源名称,是,,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,事件风险,材料来源URL,是,,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688347,华虹公司,事件风险,事件类型,是,,只记录已核验的事件和风险，不确定内容先留空或写入备注。
sh688347,华虹公司,事件风险,风险等级,是,,只记录已核验的事件和风险，不确定内容先留空或写入备注。
sh688347,华虹公司,事件风险,是否发现新增重大风险,是,,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688347,华虹公司,事件风险,是否支持当前前台结论,是,,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688347,华虹公司,事件风险,建议前台处理,是,,填写对前台结论的处理建议，例如维持、降级观察、暂不采用。
sh688347,华虹公司,事件风险,核验摘要,是,,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688347,华虹公司,事件风险,核验人,是,,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688347,华虹公司,事件风险,核验日期,是,,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688347,华虹公司,事件风险,人工备注,否,,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688347,华虹公司,行业景气,核验状态,是,,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688347,华虹公司,行业景气,行业指数或价格来源名称,是,,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688347,华虹公司,行业景气,行业指数或价格来源URL,是,,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688347,华虹公司,行业景气,数据日期,是,,按行业指数、价格、订单、政策等来源核验景气判断。
sh688347,华虹公司,行业景气,正式行业景气判断,是,,按行业指数、价格、订单、政策等来源核验景气判断。
sh688347,华虹公司,行业景气,是否支持现有景气估算,是,,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688347,华虹公司,行业景气,样本估算偏差判断,是,,按行业指数、价格、订单、政策等来源核验景气判断。
sh688347,华虹公司,行业景气,建议前台处理,是,,填写对前台结论的处理建议，例如维持、降级观察、暂不采用。
sh688347,华虹公司,行业景气,核验摘要,是,,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688347,华虹公司,行业景气,核验人,是,,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688347,华虹公司,行业景气,核验日期,是,,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688347,华虹公司,行业景气,人工备注,否,,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
