股票代码,股票名称,链路,字段,是否必填,填写值,填写说明
sh688795,摩尔线程,公司概况,核心业务,是,公司主要从事GPU芯片及相关产品的设计、研发和销售，围绕全功能GPU、MUSA软件栈、AI智算产品、专业图形和桌面级图形加速产品构建软硬件生态。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688795,摩尔线程,公司概况,行业地位,是,公司是A股科创板上市的国产GPU代表企业之一，招股和上市材料显示其产品覆盖图形渲染、AI训练推理、科学计算和算力集群等场景，处于国产GPU和AI算力芯片重点赛道。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688795,摩尔线程,公司概况,主营产品,是,主要产品包括全功能GPU芯片、专业图形加速卡、桌面级图形加速卡、AI智算加速产品、专业图形加速集群设备、MUSA软件平台及相关软硬件解决方案。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688795,摩尔线程,公司概况,主要客户或下游,是,下游主要面向智算中心、云计算、人工智能训练推理、专业图形渲染、数字孪生、科研教育、政企数字化和国产化算力基础设施等客户和场景。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688795,摩尔线程,公司概况,未来方向,是,继续推进全功能GPU芯片迭代、MUSA生态兼容、AI大模型训练推理适配、智算集群产品化和国产算力基础设施落地，同时改善收入规模、盈利能力和客户结构。,按可靠来源补全公司基本面事实，不做主观推荐。
sh688795,摩尔线程,公司概况,证据来源.来源类型,是,上市公告书、上市公司定期报告、指定信息披露媒体和行业研究资料,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688795,摩尔线程,公司概况,证据来源.来源名称,是,摩尔线程科创板上市公告书；摩尔线程2025年年度报告；摩尔线程2026年第一季度报告；中国信通院AI计算节点发展研究报告,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688795,摩尔线程,公司概况,证据来源.来源日期,是,2025-12-04；2026-04-26；2026-04-26；2026-04,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688795,摩尔线程,公司概况,证据来源.来源路径或URL,是,https://static.cninfo.com.cn/finalpage/2025-12-04/1224848789.PDF；https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12200843&stockid=688795；https://finance.sina.com.cn/stock/bxjj/2026-04-26/doc-inhvvkkh9939922.shtml；https://www.odcc.org.cn/news/p-2042484076217917442.html,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688795,摩尔线程,公司概况,核验状态,是,已核验,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688795,摩尔线程,公司概况,核验人,是,Codex公开资料核验,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688795,摩尔线程,公司概况,核验日期,是,2026-05-03,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688795,摩尔线程,公司概况,人工备注,否,已整表覆盖上一轮中微残留内容；本条只提炼摩尔线程公开事实，不构成推荐或买卖建议。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688795,摩尔线程,事件风险,核验状态,是,已核验,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688795,摩尔线程,事件风险,材料标题,是,摩尔线程2025年年度报告、2026年第一季度报告及股票交易风险提示公告,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688795,摩尔线程,事件风险,材料发布日期,是,2026-04-26；2026-04-26；2025-12-12,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688795,摩尔线程,事件风险,材料来源名称,是,新浪财经公告与资讯、上海证券报信息披露、上市公告书,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688795,摩尔线程,事件风险,材料来源URL,是,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12200843&stockid=688795；https://finance.sina.com.cn/stock/bxjj/2026-04-26/doc-inhvvkkh9939922.shtml；https://paper.cnstock.com/html/2025-12/12/content_2156899.htm,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688795,摩尔线程,事件风险,事件类型,是,定期报告、上市后交易风险和经营风险核验,只记录已核验的事件和风险，不确定内容先留空或写入备注。
sh688795,摩尔线程,事件风险,风险等级,是,中高,只记录已核验的事件和风险，不确定内容先留空或写入备注。
sh688795,摩尔线程,事件风险,是否发现新增重大风险,是,否,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688795,摩尔线程,事件风险,是否支持当前前台结论,是,是,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688795,摩尔线程,事件风险,建议前台处理,是,可维持研究关注，但必须前台提示未盈利或盈利稳定性不足、研发投入高、客户集中、供应链和先进制程约束、生态兼容、股价波动及估值消化风险。,填写对前台结论的处理建议，例如维持、降级观察、暂不采用。
sh688795,摩尔线程,事件风险,核验摘要,是,2025年年报显示公司收入高速增长但仍处亏损，2026年一季度收入继续增长且归母净利润转正，但扣非后仍亏损。上市初期公告曾提示股价累计涨幅较大且基本面未发生重大变化，说明短期交易波动和估值消化风险需要保留。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688795,摩尔线程,事件风险,核验人,是,Codex公开资料核验,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688795,摩尔线程,事件风险,核验日期,是,2026-05-03,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688795,摩尔线程,事件风险,人工备注,否,事件风险只用于前台风险提示和证据完整性，不自动改变推荐等级或买卖判断。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688795,摩尔线程,行业景气,核验状态,是,已核验,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688795,摩尔线程,行业景气,行业指数或价格来源名称,是,中国信通院AI计算节点发展研究报告；中国政府网算力基础设施高质量发展政策解读；摩尔线程定期报告,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688795,摩尔线程,行业景气,行业指数或价格来源URL,是,https://www.odcc.org.cn/news/p-2042484076217917442.html；https://www.gov.cn/zhengce/202310/content_6907967.htm；https://finance.sina.com.cn/stock/bxjj/2026-04-26/doc-inhvvkkh9939922.shtml,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688795,摩尔线程,行业景气,数据日期,是,2026-04；2023-10-11；2026-04-26,按行业指数、价格、订单、政策等来源核验景气判断。
sh688795,摩尔线程,行业景气,正式行业景气判断,是,偏上行但竞争分化。AI大模型训练推理、智算中心和国产算力替代推动GPU和AI计算节点需求增长，政策也持续支持算力基础设施建设；但国产GPU仍面临软件生态、先进制程、客户验证、供应链和商业化盈利能力考验。,按行业指数、价格、订单、政策等来源核验景气判断。
sh688795,摩尔线程,行业景气,是否支持现有景气估算,是,是,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688795,摩尔线程,行业景气,样本估算偏差判断,是,现有半导体/国产算力方向景气估算与AI算力需求和政策方向一致，但行业景气不等于单股盈利确定性，摩尔线程仍需用订单、毛利率、扣非利润和生态适配进展继续验证。,按行业指数、价格、订单、政策等来源核验景气判断。
sh688795,摩尔线程,行业景气,建议前台处理,是,前台可说明国产GPU和AI算力方向具备景气支撑，但不得直接写成买入结论；需结合股价位置、成交额、解禁节奏、盈利质量、产品验证和风险观察线。,填写对前台结论的处理建议，例如维持、降级观察、暂不采用。
sh688795,摩尔线程,行业景气,核验摘要,是,公开资料显示AI计算节点、GPU互联和智算基础设施是当前算力建设重点，国产GPU受政策和需求支撑；摩尔线程处于受益方向，但上市时间短、盈利质量和生态成熟度仍需持续跟踪。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688795,摩尔线程,行业景气,核验人,是,Codex公开资料核验,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688795,摩尔线程,行业景气,核验日期,是,2026-05-03,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688795,摩尔线程,行业景气,人工备注,否,行业景气只作为研究背景，不替代单股评分、前台策略和风险观察线。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
